milestone,epic,titulo,descripcion,prioridad,labels
"Fase 1 — MVP interno","Definición funcional","Validar con el contador el mapeo completo de hojas AY_ del Excel a reglas de negocio","Sesión de trabajo para no perder casos especiales que el contador ya maneja hoy en el archivo actual","critica","fase:1,area:documentacion,prioridad:critica"
"Fase 1 — MVP interno","Definición funcional","Priorizar conceptos de docs/FALTANTES.md según frecuencia real en la cartera de 200 declarantes","Evitar invertir esfuerzo en casos que no aplican a los clientes actuales del contador","critica","fase:1,area:documentacion,prioridad:critica"
"Fase 1 — MVP interno","Definición funcional","Re-estimar el cronograma de PLAN_DE_TRABAJO.md tras la definición funcional detallada","Ajustar semanas 3 en adelante con el alcance ya validado","alta","fase:1,area:documentacion,prioridad:alta"
"Fase 1 — MVP interno","Motor de reglas","Modelar ganancias ocasionales por venta de inmuebles con ajuste art. 73 E.T.","Portar la lógica de la hoja ajustes art. 73 del Excel actual al motor de reglas Python","critica","fase:1,area:motor-reglas,prioridad:critica"
"Fase 1 — MVP interno","Motor de reglas","Modelar ganancias ocasionales por venta de acciones dentro y fuera de bolsa","Incluye tarifa especial y cálculo de costo fiscal","alta","fase:1,area:motor-reglas,prioridad:alta"
"Fase 1 — MVP interno","Motor de reglas","Modelar ganancias ocasionales por herencias legados y donaciones","Con las exenciones de ley aplicables a vivienda de habitación y bienes específicos","alta","fase:1,area:motor-reglas,prioridad:alta"
"Fase 1 — MVP interno","Motor de reglas","Modelar ganancias ocasionales por loterías rifas y apuestas","Incluye retención especial en la fuente sobre premios","media","fase:1,area:motor-reglas,prioridad:media"
"Fase 1 — MVP interno","Motor de reglas","Implementar cédula de dividendos y participaciones con su tarifa propia","Tabla y tarifa especial distinta de la cédula general","alta","fase:1,area:motor-reglas,prioridad:alta"
"Fase 1 — MVP interno","Motor de reglas","Implementar deducción por intereses de vivienda","Con el tope legal vigente en UVT anuales","alta","fase:1,area:motor-reglas,prioridad:alta"
"Fase 1 — MVP interno","Motor de reglas","Implementar deducción por salud y medicina prepagada con tope real","Reemplazar el campo genérico del prototipo por la regla completa con tope mensual en UVT","alta","fase:1,area:motor-reglas,prioridad:alta"
"Fase 1 — MVP interno","Motor de reglas","Implementar deducción ICETEX cesantías donaciones y becas","Cada una con su propio tope y fundamento legal documentado en el issue","media","fase:1,area:motor-reglas,prioridad:media"
"Fase 1 — MVP interno","Motor de reglas","Implementar descuentos tributarios art. 254 255 256 257 y 257-1 E.T.","Incluye el límite del 30 por ciento del impuesto básico de renta","alta","fase:1,area:motor-reglas,prioridad:alta"
"Fase 1 — MVP interno","Motor de reglas","Implementar compensación de pérdidas fiscales de años anteriores","Rentas líquidas negativas compensables según las reglas vigentes","media","fase:1,area:motor-reglas,prioridad:media"
"Fase 1 — MVP interno","Motor de reglas","Implementar conversión de bienes y deudas en moneda extranjera con TRM diaria","Integrar una fuente de TRM equivalente a la hoja TRM_diaria del Excel actual","alta","fase:1,area:motor-reglas,prioridad:alta"
"Fase 1 — MVP interno","Motor de reglas","Implementar módulo de sanciones e intereses de mora","Incluye gradualidad del art. 640 E.T. para extemporaneidad y corrección","alta","fase:1,area:motor-reglas,prioridad:alta"
"Fase 1 — MVP interno","Motor de reglas","Implementar cálculo del anticipo de renta del año siguiente","Ambas metodologías de ley individual y promedio con lógica de primera segunda y tercera vez","alta","fase:1,area:motor-reglas,prioridad:alta"
"Fase 1 — MVP interno","Motor de reglas","Ampliar pruebas unitarias con casos reales tomados del Excel actual","Cada regla nueva debe entrar acompañada de sus pruebas antes de cerrarse","critica","fase:1,area:qa,prioridad:critica"
"Fase 1 — MVP interno","Backend API","Diseñar y migrar el modelo de datos completo de ingresos y deducciones","Extender los modelos SQLAlchemy más allá de Declarante y PeriodoGravable","alta","fase:1,area:backend,area:datos,prioridad:alta"
"Fase 1 — MVP interno","Backend API","Implementar autenticación JWT y control de acceso por rol","Roles Admin Contador y Auxiliar como mínimo para Fase 1","critica","fase:1,area:backend,area:seguridad,prioridad:critica"
"Fase 1 — MVP interno","Backend API","Implementar CRUD de declarantes y periodos gravables","Endpoints REST completos con validación de entrada","alta","fase:1,area:backend,prioridad:alta"
"Fase 1 — MVP interno","Backend API","Implementar endpoints de patrimonio ingresos y deducciones","Conectar cada módulo del wizard a su endpoint correspondiente","alta","fase:1,area:backend,prioridad:alta"
"Fase 1 — MVP interno","Backend API","Implementar persistencia del resultado de liquidación por periodo","Hoy el endpoint de liquidación calcula pero no guarda el resultado","alta","fase:1,area:backend,prioridad:alta"
"Fase 1 — MVP interno","Backend API","Implementar generación del reporte final por casillas del Formulario 210","Salida lista para transcribir en los Servicios Informáticos Electrónicos de la DIAN","alta","fase:1,area:backend,prioridad:alta"
"Fase 1 — MVP interno","Backend API","Configurar migraciones de base de datos con Alembic","Necesario antes de tener datos reales en producción","alta","fase:1,area:backend,area:infraestructura,prioridad:alta"
"Fase 1 — MVP interno","Backend API","Implementar auditoría de cambios por declarante","Quién modificó qué dato y cuándo según lo definido en ARQUITECTURA.md","alta","fase:1,area:backend,area:seguridad,prioridad:alta"
"Fase 1 — MVP interno","Frontend Wizard","Conectar el wizard prototipo a la API real","Reemplazar el estado local del prototipo por llamadas HTTP al backend","alta","fase:1,area:frontend,prioridad:alta"
"Fase 1 — MVP interno","Frontend Wizard","Agregar pasos faltantes al wizard","Ganancias ocasionales detalladas dividendos y deducciones específicas","alta","fase:1,area:frontend,prioridad:alta"
"Fase 1 — MVP interno","Frontend Wizard","Implementar pantalla de inicio de sesión","Conectada a la autenticación JWT del backend","critica","fase:1,area:frontend,area:seguridad,prioridad:critica"
"Fase 1 — MVP interno","Panel del contador","Construir el tablero de cartera con estado de cada declarante","Filtros por estado y por vencimiento según docs/PLAN_DE_TRABAJO.md","alta","fase:1,area:frontend,area:backend,prioridad:alta"
"Fase 1 — MVP interno","Panel del contador","Implementar calendario de vencimientos por NIT","Portar la lógica de la hoja plazos del Excel actual","media","fase:1,area:frontend,prioridad:media"
"Fase 1 — MVP interno","Panel del contador","Implementar duplicar declarante de un año a otro","Copiar datos generales y patrimonio dejando en blanco los ingresos del nuevo año","media","fase:1,area:backend,prioridad:media"
"Fase 1 — MVP interno","Carga masiva","Construir importador desde el Excel actual","Mapeo de columnas y validación de consistencia antes de insertar en la base de datos","critica","fase:1,area:datos,prioridad:critica"
"Fase 1 — MVP interno","Carga masiva","Cargar los 200 declarantes existentes al nuevo sistema","Ejecutar el importador contra los archivos reales del contador","critica","fase:1,area:datos,prioridad:critica"
"Fase 1 — MVP interno","Seguridad","Configurar cifrado en reposo de la base de datos","pgcrypto o cifrado a nivel de disco según ARQUITECTURA.md","alta","fase:1,area:seguridad,prioridad:alta"
"Fase 1 — MVP interno","Seguridad","Configurar HTTPS interno con certificado propio","Aplica incluso en red local según el requisito de servidor local","alta","fase:1,area:seguridad,area:infraestructura,prioridad:alta"
"Fase 1 — MVP interno","Seguridad","Formalizar la política de tratamiento de datos personales Habeas Data","Obligatorio por el volumen de datos sensibles de 200 declarantes","critica","fase:1,area:seguridad,area:documentacion,prioridad:critica"
"Fase 1 — MVP interno","Seguridad","Configurar backups automatizados diarios y probar restauración","Mitiga el riesgo 3 de docs/RIESGOS.md","critica","fase:1,area:seguridad,area:infraestructura,prioridad:critica"
"Fase 1 — MVP interno","QA y cierre","Diseñar y ejecutar el plan de pruebas de paridad contra el Excel actual","Comparar declarante por declarante antes de decomisionar el Excel según RIESGOS.md riesgo 1 y 9","critica","fase:1,area:qa,prioridad:critica"
